validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,trovoada,chuvisco,nevoa_umida,nevoa_seca,nevoeiro,vis_setor,vis_setor_dir
"['01:00', '01/01']",01/01 01:00,70,3,NIL,NIL,9999,NIL,NIL,25,24,1006,94,,,,,,,,,
"['02:00', '01/01']",01/01 02:00,330,3,NIL,155,9999,NIL,NIL,26,23,1005,84,,,,,,,,,
"['03:00', '01/01']",01/01 03:00,300,6,NIL,NIL,9999,NIL,NIL,25,24,1005,94,,,,,,,,,
"['04:00', '01/01']",01/01 04:00,310,3,NIL,NIL,9999,NIL,NIL,25,24,1004,94,,,,,,,,,
"['05:00', '01/01']",01/01 05:00,290,4,NIL,NIL,9999,NIL,NIL,25,24,1004,94,,,,,,,,,
"['06:00', '01/01']",01/01 06:00,270,6,NIL,NIL,9999,NIL,NIL,24,24,1004,100,,,,,,,,,
"['07:00', '01/01']",01/01 07:00,310,3,NIL,NIL,9999,NIL,NIL,25,23,1004,89,,,,,,,,,
"['08:00', '01/01']",01/01 08:00,290,4,NIL,NIL,9999,NIL,NIL,25,23,1004,89,,,,,,,,,
"['09:00', '01/01']",01/01 09:00,260,3,NIL,275,9999,NIL,NIL,25,23,1005,89,,,,,,,,,
"['10:00', '01/01']",01/01 10:00,270,4,NIL,NIL,9999,NIL,NIL,26,23,1005,84,,,,,,,,,
"['11:00', '01/01']",01/01 11:00,300,5,NIL,305,9999,NIL,NIL,27,23,1005,79,,,,,,,,,
"['12:00', '01/01']",01/01 12:00,290,11,NIL,NIL,9999,NIL,2,30,24,1005,70,,,,,,,,,
"['13:00', '01/01']",01/01 13:00,290,12,NIL,NIL,9999,NIL,2,30,23,1005,66,,,,,,,,,
"['14:00', '01/01']",01/01 14:00,290,14,NIL,275,9999,NIL,3,32,23,1005,59,,,,,,,,,
"['15:00', '01/01']",01/01 15:00,300,13,NIL,NIL,9999,NIL,3,33,22,1004,53,,,,,,,,,
"['16:00', '01/01']",01/01 16:00,280,14,NIL,285,9999,NIL,3,34,22,1003,50,,,,,,,,,
"['17:00', '01/01']",01/01 17:00,200,11,NIL,195,9999,NIL,3,31,22,1004,59,,,,,,,,,
"['18:00', '01/01']",01/01 18:00,210,12,NIL,215,9999,8000,5,32,21,1003,52,,,,,,,,,
"['19:00', '01/01']",01/01 19:00,230,8,NIL,225,9999,NIL,3,28,25,1003,84,,,,,,,,,
"['20:00', '01/01']",01/01 20:00,180,16,NIL,NIL,9999,NIL,3,28,24,1004,79,,,,,,,,,
"['21:00', '01/01']",01/01 21:00,180,16,NIL,180,9999,NIL,3,27,23,1004,79,,,,,,,,,
"['22:00', '01/01']",01/01 22:00,180,14,NIL,180,9999,7000,5,26,22,1005,79,,,,,,,,,
"['23:00', '01/01']",01/01 23:00,170,12,22,185,9999,1900,5,26,22,1006,79,,,,,,,,,
"['00:00', '02/01']",02/01 00:00,160,9,19,155,9999,1700,8,25,22,1007,83,,,,,,,,,
"['01:00', '02/01']",02/01 01:00,170,10,NIL,NIL,9999,1600,8,25,22,1008,83,NIL,NIL,,,,,,,
"['02:00', '02/01']",02/01 02:00,140,7,NIL,145,9999,1600,8,24,21,1009,83,NIL,NIL,,,,,,,
"['03:00', '02/01']",02/01 03:00,160,10,21,175,9999,2500,8,24,21,1009,83,NIL,NIL,,,,,,,
"['04:00', '02/01']",02/01 04:00,170,8,NIL,NIL,9999,4200,8,24,21,1009,83,NIL,NIL,,,,,,,
"['05:00', '02/01']",02/01 05:00,160,7,NIL,NIL,9999,4000,8,23,20,1008,83,NIL,NIL,,,,,,,
"['06:00', '02/01']",02/01 06:00,170,5,NIL,NIL,9000,2000,8,23,20,1009,83,1,1,,,,,,,
"['07:00', '02/01']",02/01 07:00,160,6,NIL,165,9999,2000,8,23,20,1009,83,NIL,NIL,,,,,,,
"['08:00', '02/01']",02/01 08:00,140,5,NIL,140,9000,2000,8,22,21,1010,94,1,NIL,,,,,,,
"['09:00', '02/01']",02/01 09:00,150,6,NIL,150,9999,2000,5,23,20,1010,83,NIL,NIL,,,,,,,
"['10:00', '02/01']",02/01 10:00,170,6,NIL,165,9999,5000,5,24,20,1011,78,NIL,NIL,,,,,,,
"['11:00', '02/01']",02/01 11:00,140,10,NIL,NIL,9999,5000,5,24,20,1012,78,NIL,NIL,,,,,,,
"['12:00', '02/01']",02/01 12:00,150,14,NIL,160,9999,2200,5,25,19,1012,69,NIL,NIL,,,,,,,
"['13:00', '02/01']",02/01 13:00,140,14,NIL,NIL,9999,2700,5,26,19,1012,65,NIL,NIL,,,,,,,
"['14:00', '02/01']",02/01 14:00,180,13,NIL,185,9999,3000,5,27,18,1012,58,NIL,NIL,,,,,,,
"['15:00', '02/01']",02/01 15:00,160,12,22,160,9999,2700,5,27,19,1013,62,NIL,NIL,,,,,,,
"['16:00', '02/01']",02/01 16:00,160,17,NIL,NIL,9999,3000,5,27,19,1013,62,NIL,NIL,,,,,,,
"['17:00', '02/01']",02/01 17:00,150,14,24,155,9999,2700,5,26,18,1013,61,NIL,NIL,,,,,,,
"['18:00', '02/01']",02/01 18:00,170,16,NIL,NIL,9999,4000,5,27,19,1013,62,NIL,NIL,,,,,,,
"['19:00', '02/01']",02/01 19:00,160,15,NIL,170,9000,2600,8,26,19,1013,65,NIL,NIL,,,,,,,
"['20:00', '02/01']",02/01 20:00,140,15,NIL,NIL,9999,3000,5,25,18,1013,65,NIL,NIL,,,,,,,
"['21:00', '02/01']",02/01 21:00,130,16,26,140,9999,NIL,3,26,18,1013,61,NIL,NIL,,,,,,,
"['22:00', '02/01']",02/01 22:00,130,14,NIL,130,9999,NIL,3,24,18,1014,69,NIL,NIL,,,,,,,
"['23:00', '02/01']",02/01 23:00,130,16,NIL,140,9999,5000,5,24,18,1014,69,NIL,NIL,,,,,,,
"['00:00', '03/01']",03/01 00:00,140,12,NIL,150,9999,5000,5,23,18,1015,73,NIL,NIL,,,,,,,
"['01:00', '03/01']",03/01 01:00,130,10,NIL,NIL,9999,NIL,3,23,18,1015,73,NIL,,,,,,,,
"['02:00', '03/01']",03/01 02:00,130,9,NIL,130,9999,NIL,NIL,22,18,1015,78,NIL,,,,,,,,
"['03:00', '03/01']",03/01 03:00,130,8,NIL,125,9999,NIL,NIL,22,18,1015,78,NIL,,,,,,,,
"['04:00', '03/01']",03/01 04:00,120,9,NIL,110,9999,NIL,NIL,23,18,1015,73,NIL,,,,,,,,
"['05:00', '03/01']",03/01 05:00,120,9,NIL,NIL,9999,NIL,NIL,22,18,1014,78,NIL,,,,,,,,
"['06:00', '03/01']",03/01 06:00,120,9,NIL,NIL,9999,NIL,NIL,22,18,1014,78,NIL,,,,,,,,
"['07:00', '03/01']",03/01 07:00,130,9,NIL,NIL,9999,NIL,2,22,18,1015,78,NIL,,,,,,,,
"['08:00', '03/01']",03/01 08:00,120,9,NIL,NIL,9999,NIL,NIL,21,18,1015,83,NIL,,,,,,,,
"['09:00', '03/01']",03/01 09:00,110,10,NIL,115,9999,NIL,NIL,22,18,1016,78,NIL,,,,,,,,
"['10:00', '03/01']",03/01 10:00,130,11,NIL,NIL,9999,NIL,2,23,17,1016,69,NIL,,,,,,,,
"['11:00', '03/01']",03/01 11:00,120,12,NIL,NIL,9999,NIL,3,24,18,1017,69,NIL,,,,,,,,
"['12:00', '03/01']",03/01 12:00,130,13,NIL,NIL,9999,3200,5,25,17,1017,61,NIL,,,,,,,,
"['13:00', '03/01']",03/01 13:00,120,16,26,120,9999,3600,5,27,17,1017,54,NIL,,,,,,,,
"['14:00', '03/01']",03/01 14:00,100,21,NIL,115,9999,4800,5,28,16,1017,48,NIL,,,,,,,,
"['15:00', '03/01']",03/01 15:00,100,14,24,100,9999,4000,5,25,18,1018,65,NIL,,,,,,,,
"['15:08', '03/01']",03/01 15:08,70,19,NIL,NIL,4000,4000,8,24,19,1018,74,1,,,,,,,,
"['15:31', '03/01']",03/01 15:31,90,11,NIL,NIL,8000,4700,8,25,19,1018,69,NIL,,,,,,,,
"['16:00', '03/01']",03/01 16:00,110,14,NIL,105,9000,4000,8,25,17,1017,61,NIL,,,,,,,,
"['17:00', '03/01']",03/01 17:00,110,18,NIL,NIL,9999,4000,5,26,17,1017,58,NIL,,,,,,,,
"['18:00', '03/01']",03/01 18:00,100,16,NIL,NIL,9999,4000,5,25,18,1016,65,NIL,,,,,,,,
"['19:00', '03/01']",03/01 19:00,120,15,NIL,NIL,9999,4000,5,26,17,1016,58,NIL,,,,,,,,
"['20:00', '03/01']",03/01 20:00,130,6,NIL,NIL,9999,NIL,3,27,17,1015,54,NIL,,,,,,,,
"['21:00', '03/01']",03/01 21:00,130,15,NIL,NIL,9999,NIL,3,26,17,1016,58,NIL,,,,,,,,
"['22:00', '03/01']",03/01 22:00,130,13,NIL,NIL,9999,NIL,3,25,18,1016,65,NIL,,,,,,,,
"['23:00', '03/01']",03/01 23:00,120,10,NIL,NIL,9999,NIL,3,23,19,1016,78,NIL,,,,,,,,
"['00:00', '04/01']",04/01 00:00,110,13,NIL,110,9999,NIL,3,22,19,1016,83,NIL,,,,,,,,
"['01:00', '04/01']",04/01 01:00,120,13,NIL,120,9999,NIL,3,22,19,1016,83,,,,,,,,,
"['02:00', '04/01']",04/01 02:00,120,12,NIL,120,9999,4000,5,22,19,1016,83,,,,,,,,,
"['03:00', '04/01']",04/01 03:00,100,12,NIL,NIL,9999,4000,5,21,19,1016,88,,,,,,,,,
"['04:00', '04/01']",04/01 04:00,120,11,NIL,NIL,9999,NIL,3,22,19,1015,83,,,,,,,,,
"['05:00', '04/01']",04/01 05:00,130,11,NIL,115,9999,NIL,3,22,19,1014,83,,,,,,,,,
"['06:00', '04/01']",04/01 06:00,120,10,NIL,NIL,9999,NIL,3,21,19,1014,88,,,,,,,,,
"['07:00', '04/01']",04/01 07:00,120,11,NIL,NIL,9999,NIL,3,21,19,1014,88,,,,,,,,,
"['08:00', '04/01']",04/01 08:00,100,12,NIL,NIL,9999,NIL,3,21,19,1014,88,,,,,,,,,
"['09:00', '04/01']",04/01 09:00,100,11,NIL,NIL,9999,NIL,3,21,19,1014,88,,,,,,,,,
"['10:00', '04/01']",04/01 10:00,110,10,NIL,110,9999,NIL,3,22,19,1014,83,,,,,,,,,
"['11:00', '04/01']",04/01 11:00,100,13,NIL,NIL,9999,3000,5,24,19,1015,74,,,,,,,,,
"['12:00', '04/01']",04/01 12:00,100,15,NIL,NIL,9999,3000,5,24,19,1015,74,,,,,,,,,
"['13:00', '04/01']",04/01 13:00,110,12,NIL,NIL,9999,3000,5,25,19,1015,69,,,,,,,,,
"['14:00', '04/01']",04/01 14:00,90,15,NIL,NIL,9999,3200,5,28,18,1014,55,,,,,,,,,
"['15:00', '04/01']",04/01 15:00,100,15,NIL,NIL,9999,3500,5,27,18,1014,58,,,,,,,,,
"['16:00', '04/01']",04/01 16:00,130,13,NIL,NIL,9999,NIL,3,28,18,1013,55,,,,,,,,,
"['17:00', '04/01']",04/01 17:00,100,16,NIL,NIL,9999,NIL,3,29,18,1012,52,,,,,,,,,
"['18:00', '04/01']",04/01 18:00,110,17,NIL,NIL,9999,NIL,3,28,18,1012,55,,,,,,,,,
"['19:00', '04/01']",04/01 19:00,100,17,NIL,NIL,9999,NIL,3,28,18,1011,55,,,,,,,,,
"['20:00', '04/01']",04/01 20:00,100,16,26,NIL,9999,NIL,3,27,18,1010,58,,,,,,,,,
"['21:00', '04/01']",04/01 21:00,110,16,NIL,NIL,9999,NIL,2,26,18,1011,61,,,,,,,,,
"['22:00', '04/01']",04/01 22:00,100,18,NIL,NIL,9999,NIL,3,25,18,1010,65,,,,,,,,,
"['23:00', '04/01']",04/01 23:00,100,16,NIL,NIL,9999,NIL,2,24,19,1010,74,,,,,,,,,
"['00:00', '05/01']",05/01 00:00,100,13,NIL,NIL,9999,NIL,NIL,23,19,1010,78,,,,,,,,,
"['01:00', '05/01']",05/01 01:00,100,10,NIL,NIL,9999,NIL,NIL,22,19,1010,83,,,,,,,,,
"['02:00', '05/01']",05/01 02:00,100,9,NIL,NIL,9999,NIL,NIL,22,20,1010,88,,,,,,,,,
"['03:00', '05/01']",05/01 03:00,110,9,NIL,NIL,9999,NIL,NIL,21,20,1010,94,,,,,,,,,
"['04:00', '05/01']",05/01 04:00,110,6,NIL,NIL,9999,NIL,NIL,21,20,1009,94,,,,,,,,,
"['05:00', '05/01']",05/01 05:00,110,6,NIL,NIL,9999,NIL,NIL,21,20,1008,94,,,,,,,,,
"['06:00', '05/01']",05/01 06:00,110,5,NIL,NIL,9999,NIL,NIL,21,20,1008,94,,,,,,,,,
"['07:00', '05/01']",05/01 07:00,90,5,NIL,NIL,9999,NIL,NIL,20,20,1008,100,,,,,,,,,
"['08:00', '05/01']",05/01 08:00,80,4,NIL,NIL,9999,NIL,NIL,20,20,1008,100,,,,,,,,,
"['09:00', '05/01']",05/01 09:00,70,3,NIL,NIL,9999,NIL,NIL,20,20,1008,100,,,,,,,,,
"['10:00', '05/01']",05/01 10:00,90,4,NIL,NIL,9999,NIL,NIL,22,20,1008,88,,,,,,,,,
"['11:00', '05/01']",05/01 11:00,100,5,NIL,NIL,9999,NIL,NIL,24,19,1008,74,,,,,,,,,
"['12:00', '05/01']",05/01 12:00,50,3,NIL,210,9999,NIL,NIL,26,18,1008,61,,,,,,,,,
"['13:00', '05/01']",05/01 13:00,50,4,NIL,245,9999,NIL,NIL,28,17,1008,51,,,,,,,,,
"['14:00', '05/01']",05/01 14:00,VRB,3,NIL,NIL,9999,NIL,3,29,17,1008,48,,,,,,,,,
"['15:00', '05/01']",05/01 15:00,70,4,NIL,245,9999,4500,5,30,16,1007,43,,,,,,,,,
"['16:00', '05/01']",05/01 16:00,200,7,NIL,175,9999,4500,5,31,17,1006,43,,,,,,,,,
"['17:00', '05/01']",05/01 17:00,VRB,3,NIL,NIL,9999,4500,5,32,16,1006,38,,,,,,,,,
"['18:00', '05/01']",05/01 18:00,130,10,NIL,130,9999,NIL,3,32,16,1005,38,,,,,,,,,
"['19:00', '05/01']",05/01 19:00,130,12,24,140,9999,NIL,3,32,16,1004,38,,,,,,,,,
"['20:00', '05/01']",05/01 20:00,100,15,NIL,NIL,9999,NIL,3,30,19,1004,52,,,,,,,,,
"['21:00', '05/01']",05/01 21:00,100,16,NIL,NIL,9999,NIL,3,29,19,1004,55,,,,,,,,,
"['22:00', '05/01']",05/01 22:00,100,18,NIL,NIL,9999,NIL,NIL,27,18,1004,58,,,,,,,,,
"['23:00', '05/01']",05/01 23:00,110,15,NIL,NIL,9999,NIL,NIL,26,20,1004,70,,,,,,,,,
"['00:00', '06/01']",06/01 00:00,110,13,NIL,NIL,9999,NIL,NIL,24,20,1005,78,,,,,,,,,
"['01:00', '06/01']",06/01 01:00,110,10,NIL,NIL,9999,NIL,NIL,24,21,1005,83,NIL,NIL,NIL,,,,,,
"['02:00', '06/01']",06/01 02:00,100,10,NIL,NIL,9999,NIL,NIL,23,21,1005,89,NIL,NIL,NIL,,,,,,
"['03:00', '06/01']",06/01 03:00,100,10,NIL,NIL,9999,NIL,NIL,23,21,1004,89,NIL,NIL,NIL,,,,,,
"['04:00', '06/01']",06/01 04:00,100,7,NIL,NIL,9999,NIL,NIL,23,21,1004,89,NIL,NIL,NIL,,,,,,
"['05:00', '06/01']",06/01 05:00,110,5,NIL,NIL,9999,NIL,NIL,23,20,1003,83,NIL,NIL,NIL,,,,,,
"['06:00', '06/01']",06/01 06:00,100,6,NIL,NIL,9999,NIL,NIL,23,20,1003,83,NIL,NIL,NIL,,,,,,
"['07:00', '06/01']",06/01 07:00,80,4,NIL,NIL,9999,NIL,NIL,22,20,1004,88,NIL,NIL,NIL,,,,,,
"['08:00', '06/01']",06/01 08:00,80,4,NIL,NIL,9999,NIL,NIL,22,20,1004,88,NIL,NIL,NIL,,,,,,
"['09:00', '06/01']",06/01 09:00,70,5,NIL,NIL,9999,NIL,2,22,21,1005,94,NIL,NIL,NIL,,,,,,
"['10:00', '06/01']",06/01 10:00,80,6,NIL,NIL,9999,NIL,2,24,21,1005,83,NIL,NIL,NIL,,,,,,
"['11:00', '06/01']",06/01 11:00,40,5,NIL,215,9999,NIL,NIL,27,20,1005,66,NIL,NIL,NIL,,,,,,
"['12:00', '06/01']",06/01 12:00,350,11,NIL,NIL,9999,NIL,NIL,30,18,1005,49,NIL,NIL,NIL,,,,,,
"['13:00', '06/01']",06/01 13:00,360,9,NIL,165,9999,NIL,NIL,31,17,1005,43,NIL,NIL,NIL,,,,,,
"['14:00', '06/01']",06/01 14:00,320,12,NIL,NIL,9999,NIL,NIL,33,18,1005,41,NIL,NIL,NIL,,,,,,
"['15:00', '06/01']",06/01 15:00,290,10,NIL,295,9999,NIL,NIL,34,18,1004,39,NIL,NIL,NIL,,,,,,
"['16:00', '06/01']",06/01 16:00,VRB,6,NIL,NIL,9999,NIL,3,35,17,1003,34,NIL,NIL,NIL,,,,,,
"['17:00', '06/01']",06/01 17:00,290,8,NIL,285,9999,NIL,3,35,17,1002,34,NIL,NIL,NIL,,,,,,
"['17:29', '06/01']",06/01 17:29,290,22,32,NIL,5000,10000,5,31,21,1002,55,1,1,NIL,,,,,,
"['17:37', '06/01']",06/01 17:37,230,26,39,225,3000,10000,5,25,18,1002,65,1,NIL,1,,,,,,
"['18:00', '06/01']",06/01 18:00,260,6,NIL,265,8000,10000,5,30,21,1002,59,1,NIL,1,,,,,,
"['19:00', '06/01']",06/01 19:00,VRB,6,NIL,NIL,9999,NIL,2,35,16,1001,32,NIL,NIL,NIL,,,,,,
"['20:00', '06/01']",06/01 20:00,340,5,NIL,170,9999,NIL,2,36,14,1001,27,NIL,NIL,NIL,,,,,,
"['21:00', '06/01']",06/01 21:00,230,3,NIL,195,9999,10000,5,34,16,1002,34,NIL,NIL,NIL,,,,,,
"['22:00', '06/01']",06/01 22:00,170,7,NIL,170,9999,NIL,3,30,20,1002,55,NIL,NIL,NIL,,,,,,
"['23:00', '06/01']",06/01 23:00,130,8,NIL,NIL,9999,NIL,2,29,21,1003,62,NIL,NIL,NIL,,,,,,
"['00:00', '07/01']",07/01 00:00,180,11,NIL,180,9999,10000,5,27,22,1004,74,NIL,NIL,NIL,,,,,,
"['00:17', '07/01']",07/01 00:17,200,10,NIL,200,8000,8000,5,27,23,1005,79,1,NIL,1,,,,,,
"['00:49', '07/01']",07/01 00:49,360,14,NIL,NIL,4000,7000,8,24,23,1006,94,1,NIL,1,,,,,,
"['01:00', '07/01']",07/01 01:00,40,10,,45,4000,7000,8,23,23,1006,100,1,,1,,,,,,
"['01:20', '07/01']",07/01 01:20,VRB,4,,NIL,4000,8000,8,23,22,1006,94,1,,1,,,,,,
"['02:00', '07/01']",07/01 02:00,190,3,,195,8000,10000,5,23,23,1005,100,1,,1,,,,,,
"['03:00', '07/01']",07/01 03:00,320,6,,310,9999,10000,5,24,24,1005,100,NIL,,NIL,,,,,,
"['04:00', '07/01']",07/01 04:00,VRB,2,,NIL,9999,10000,5,23,22,1005,94,NIL,,NIL,,,,,,
"['05:00', '07/01']",07/01 05:00,0,0,,NIL,9999,8000,5,23,23,1005,100,NIL,,NIL,,,,,,
"['06:00', '07/01']",07/01 06:00,290,4,,NIL,9999,10000,5,23,23,1005,100,NIL,,NIL,,,,,,
"['07:00', '07/01']",07/01 07:00,280,6,,NIL,9999,10000,5,23,23,1005,100,NIL,,NIL,,,,,,
"['08:00', '07/01']",07/01 08:00,260,8,,NIL,9999,NIL,3,23,22,1006,94,NIL,,NIL,,,,,,
"['09:00', '07/01']",07/01 09:00,290,8,,NIL,9999,8000,5,23,23,1006,100,NIL,,NIL,,,,,,
"['10:00', '07/01']",07/01 10:00,310,6,,NIL,9999,8000,5,23,23,1007,100,NIL,,NIL,,,,,,
"['11:00', '07/01']",07/01 11:00,300,7,,300,9999,4000,5,24,23,1008,94,NIL,,NIL,,,,,,
"['12:00', '07/01']",07/01 12:00,310,6,,310,9999,4000,5,25,23,1008,89,NIL,,NIL,,,,,,
"['13:00', '07/01']",07/01 13:00,300,7,,295,9999,NIL,3,27,22,1008,74,NIL,,NIL,,,,,,
"['14:00', '07/01']",07/01 14:00,190,6,,185,9999,2700,5,28,21,1008,66,NIL,,NIL,,,,,,
"['15:00', '07/01']",07/01 15:00,VRB,2,,NIL,9999,3000,5,29,20,1008,58,NIL,,NIL,,,,,,
"['16:00', '07/01']",07/01 16:00,140,9,,NIL,9999,3500,5,29,20,1008,58,NIL,,NIL,,,,,,
"['17:00', '07/01']",07/01 17:00,130,7,,NIL,9999,3500,5,30,20,1007,55,NIL,,NIL,,,,,,
"['18:00', '07/01']",07/01 18:00,180,9,,190,9999,4000,5,30,20,1007,55,NIL,,NIL,,,,,,
"['19:00', '07/01']",07/01 19:00,180,7,,180,9999,NIL,3,30,20,1007,55,NIL,,NIL,,,,,,
"['20:00', '07/01']",07/01 20:00,170,9,,170,9999,NIL,2,30,19,1006,52,NIL,,NIL,,,,,,
"['21:00', '07/01']",07/01 21:00,150,11,,NIL,9999,NIL,2,29,19,1007,55,NIL,,NIL,,,,,,
"['22:00', '07/01']",07/01 22:00,140,14,,NIL,9999,NIL,3,27,18,1008,58,NIL,,NIL,,,,,,
"['23:00', '07/01']",07/01 23:00,110,15,,NIL,9999,NIL,3,26,18,1009,61,NIL,,NIL,,,,,,
"['00:00', '08/01']",08/01 00:00,120,11,,NIL,9999,NIL,3,25,17,1010,61,NIL,,NIL,,,,,,
"['01:00', '08/01']",08/01 01:00,110,10,NIL,NIL,9999,NIL,2,24,18,1010,69,,,,,,,,,
"['02:00', '08/01']",08/01 02:00,130,8,NIL,NIL,9999,NIL,NIL,24,18,1010,69,,,,,,,,,
"['03:00', '08/01']",08/01 03:00,130,9,NIL,NIL,9999,NIL,NIL,23,19,1010,78,,,,,,,,,
"['04:00', '08/01']",08/01 04:00,130,9,NIL,NIL,9999,NIL,NIL,23,19,1010,78,,,,,,,,,
"['05:00', '08/01']",08/01 05:00,120,8,NIL,NIL,9999,NIL,NIL,23,19,1010,78,,,,,,,,,
"['06:00', '08/01']",08/01 06:00,130,8,NIL,NIL,9999,NIL,NIL,23,19,1010,78,,,,,,,,,
"['07:00', '08/01']",08/01 07:00,120,9,NIL,130,9999,NIL,NIL,22,19,1010,83,,,,,,,,,
"['08:00', '08/01']",08/01 08:00,130,8,NIL,NIL,9999,NIL,NIL,22,19,1010,83,,,,,,,,,
"['09:00', '08/01']",08/01 09:00,120,8,NIL,NIL,9999,NIL,NIL,22,19,1011,83,,,,,,,,,
"['10:00', '08/01']",08/01 10:00,110,7,NIL,NIL,9999,NIL,NIL,23,19,1011,78,,,,,,,,,
"['11:00', '08/01']",08/01 11:00,100,10,NIL,NIL,9999,NIL,NIL,25,18,1012,65,,,,,,,,,
"['12:00', '08/01']",08/01 12:00,100,13,NIL,NIL,9999,NIL,NIL,27,16,1012,51,,,,,,,,,
"['13:00', '08/01']",08/01 13:00,110,13,NIL,NIL,9999,8000,5,28,17,1011,51,,,,,,,,,
"['14:00', '08/01']",08/01 14:00,110,11,NIL,NIL,9999,8000,5,28,19,1011,58,,,,,,,,,
"['15:00', '08/01']",08/01 15:00,100,13,NIL,NIL,9999,NIL,3,29,18,1011,52,,,,,,,,,
"['16:00', '08/01']",08/01 16:00,130,12,NIL,NIL,9999,NIL,3,30,19,1010,52,,,,,,,,,
"['17:00', '08/01']",08/01 17:00,100,12,NIL,110,9999,4300,5,30,19,1010,52,,,,,,,,,
"['18:00', '08/01']",08/01 18:00,120,12,NIL,120,9999,4800,5,31,18,1009,46,,,,,,,,,
"['19:00', '08/01']",08/01 19:00,100,15,25,NIL,9999,NIL,3,31,18,1009,46,,,,,,,,,
"['20:00', '08/01']",08/01 20:00,100,16,NIL,NIL,9999,NIL,NIL,30,18,1008,49,,,,,,,,,
"['21:00', '08/01']",08/01 21:00,100,15,NIL,110,9999,NIL,NIL,28,18,1008,55,,,,,,,,,
"['22:00', '08/01']",08/01 22:00,110,15,NIL,NIL,9999,NIL,NIL,27,18,1008,58,,,,,,,,,
"['23:00', '08/01']",08/01 23:00,120,12,NIL,120,9999,NIL,NIL,25,18,1008,65,,,,,,,,,
"['00:00', '09/01']",09/01 00:00,110,12,NIL,NIL,9999,NIL,NIL,25,19,1008,69,,,,,,,,,
"['01:00', '09/01']",09/01 01:00,120,9,,120,9999,NIL,NIL,24,19,1009,74,,,,,,,,,
"['02:00', '09/01']",09/01 02:00,100,8,,NIL,9999,NIL,NIL,23,20,1009,83,,,,,,,,,
"['03:00', '09/01']",09/01 03:00,100,9,,NIL,9999,NIL,NIL,23,21,1009,89,,,,,,,,,
"['04:00', '09/01']",09/01 04:00,100,7,,NIL,9999,NIL,NIL,23,21,1009,89,,,,,,,,,
"['05:00', '09/01']",09/01 05:00,110,5,,NIL,9999,NIL,NIL,23,20,1008,83,,,,,,,,,
"['06:00', '09/01']",09/01 06:00,110,4,,NIL,9999,NIL,NIL,22,20,1008,88,,,,,,,,,
"['07:00', '09/01']",09/01 07:00,110,3,,NIL,9999,NIL,NIL,22,20,1008,88,,,,,,,,,
"['08:00', '09/01']",09/01 08:00,80,3,,NIL,9999,NIL,NIL,22,20,1008,88,,,,,,,,,
"['09:00', '09/01']",09/01 09:00,100,5,,NIL,9999,NIL,NIL,22,20,1009,88,,,,,,,,,
"['10:00', '09/01']",09/01 10:00,100,5,,NIL,9999,NIL,NIL,25,21,1009,79,,,,,,,,,
"['11:00', '09/01']",09/01 11:00,80,5,,80,9999,NIL,NIL,27,21,1009,70,,,,,,,,,
"['12:00', '09/01']",09/01 12:00,90,2,,NIL,9999,NIL,NIL,30,21,1009,59,,,,,,,,,
"['13:00', '09/01']",09/01 13:00,330,5,,155,9999,NIL,NIL,31,21,1009,55,,,,,,,,,
"['14:00', '09/01']",09/01 14:00,300,5,,125,9999,NIL,NIL,32,21,1009,52,,,,,,,,,
"['15:00', '09/01']",09/01 15:00,280,7,,115,9999,NIL,NIL,34,22,1009,50,,,,,,,,,
"['16:00', '09/01']",09/01 16:00,300,8,,295,9999,NIL,NIL,35,21,1009,44,,,,,,,,,
"['17:00', '09/01']",09/01 17:00,310,7,,290,9999,NIL,2,36,19,1008,37,,,,,,,,,
"['18:00', '09/01']",09/01 18:00,280,6,,285,9999,NIL,2,37,17,1007,31,,,,,,,,,
"['19:00', '09/01']",09/01 19:00,VRB,3,,NIL,9999,NIL,2,37,18,1006,33,,,,,,,,,
"['20:00', '09/01']",09/01 20:00,VRB,3,,NIL,9999,NIL,2,38,17,1005,29,,,,,,,,,
"['21:00', '09/01']",09/01 21:00,100,15,,NIL,9999,NIL,3,34,23,1005,53,,,,,,,,,
"['22:00', '09/01']",09/01 22:00,90,14,,NIL,9999,NIL,3,32,23,1007,59,,,,,,,,,
"['23:00', '09/01']",09/01 23:00,110,11,,NIL,9999,8000,5,29,23,1008,70,,,,,,,,,
"['00:00', '10/01']",10/01 00:00,140,8,,NIL,9999,8000,5,29,23,1009,70,,,,,,,,,
"['01:00', '10/01']",10/01 01:00,130,9,,NIL,9999,NIL,3,29,22,1008,66,NIL,,,,,,,,
"['02:00', '10/01']",10/01 02:00,40,9,,NIL,9999,NIL,3,27,24,1008,84,NIL,,,,,,,,
"['03:00', '10/01']",10/01 03:00,190,3,,NIL,9999,NIL,2,27,24,1008,84,NIL,,,,,,,,
"['04:00', '10/01']",10/01 04:00,260,7,,NIL,9999,8000,5,27,24,1008,84,NIL,,,,,,,,
"['05:00', '10/01']",10/01 05:00,230,5,,NIL,9999,10000,8,27,24,1008,84,NIL,,,,,,,,
"['06:00', '10/01']",10/01 06:00,280,4,,NIL,9999,10000,5,27,25,1008,89,NIL,,,,,,,,
